(90, '1485499887743803394', '1479436486957322244', '$ETH', datetime.datetime(2022, 1, 24, 6, 29, 7))
(92, '1485758553147199491', '950335062280634369', '$CRV', datetime.datetime(2022, 1, 24, 23, 36, 57))
(93, '1484668033297702917', '950335062280634369', '$EGLD', datetime.datetime(2022, 1, 21, 23, 23, 37))
(94, '1484645693893627916', '950335062280634369', '$ATOM', datetime.datetime(2022, 1, 21, 21, 54, 51))
(95, '1484457042257530880', '950335062280634369', '$JUNO', datetime.datetime(2022, 1, 21, 9, 25, 13))
(96, '1484396215429177344', '950335062280634369', '$LUNA', datetime.datetime(2022, 1, 21, 5, 23, 31))
(97, '1484362882120753155', '950335062280634369', '$ATOM', datetime.datetime(2022, 1, 21, 3, 11, 3))
(98, '1483452110159110144', '950335062280634369', '$ATOM', datetime.datetime(2022, 1, 18, 14, 51, 58))
(99, '1485877211957960707', '1458802517714694148', '$NEAR', datetime.datetime(2022, 1, 25, 7, 28, 28))
(100, '1485842400350466050', '1458802517714694148', '$ODO', datetime.datetime(2022, 1, 25, 5, 10, 8))
(102, '1485809125183430656', '1452273423409979392', '$ETH', datetime.datetime(2022, 1, 25, 2, 57, 55))
(103, '1485121634449211392', '1452273423409979392', '$ETH', datetime.datetime(2022, 1, 23, 5, 26, 4))
(105, '1485765480497520640', '22238336', '$POKT', datetime.datetime(2022, 1, 25, 0, 4, 29))
(106, '1485745522724032513', '22238336', '$POKT', datetime.datetime(2022, 1, 24, 22, 45, 11))
(107, '1485638075254513665', '22238336', '$POKT', datetime.datetime(2022, 1, 24, 15, 38, 13))
(108, '1485596658318589956', '22238336', '$POKT', datetime.datetime(2022, 1, 24, 12, 53, 39))
(109, '1485585959961997319', '22238336', '$POKT', datetime.datetime(2022, 1, 24, 12, 11, 8))
(110, '1485396529737256963', '22238336', '$POKT', datetime.datetime(2022, 1, 23, 23, 38, 24))
(111, '1485378994040197129', '22238336', '$POKT', datetime.datetime(2022, 1, 23, 22, 28, 43))
(112, '1485376707502743553', '22238336', '$POKT', datetime.datetime(2022, 1, 23, 22, 19, 38))
(113, '1485371315095756807', '22238336', '$POKT', datetime.datetime(2022, 1, 23, 21, 58, 13))
(114, '1485366713969528832', '22238336', '$POKT', datetime.datetime(2022, 1, 23, 21, 39, 56))
(115, '1485349527553036292', '22238336', '$POKT', datetime.datetime(2022, 1, 23, 20, 31, 38))
(116, '1485312938919477255', '22238336', '$POKT', datetime.datetime(2022, 1, 23, 18, 6, 15))
(117, '1485244401551122441', '22238336', '$POKT', datetime.datetime(2022, 1, 23, 13, 33, 54))
(118, '1485076432342728704', '22238336', '$POKT', datetime.datetime(2022, 1, 23, 2, 26, 27))
(119, '1484948175706370050', '22238336', '$POKT', datetime.datetime(2022, 1, 22, 17, 56, 48))
(120, '1484915359538982924', '22238336', '$POKT', datetime.datetime(2022, 1, 22, 15, 46, 24))
(121, '1484902071040196615', '22238336', '$POKT', datetime.datetime(2022, 1, 22, 14, 53, 36))
(122, '1484890082553171969', '22238336', '$POKT', datetime.datetime(2022, 1, 22, 14, 5, 58))
(123, '1484889475314601984', '22238336', '$POKT', datetime.datetime(2022, 1, 22, 14, 3, 33))
